plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
9459, 5213, 154.1282, -46.5232, -100, 2, 1, 15948.4445731, 57832,57831,
9460, 5214, 100.8351, -51.0998, -100, 0, 1, 0.0, NOT,OBSERVED
9461, 5228, 78.5258, -62.5661, -100, 0, 1, 0.0, NOT,OBSERVED
9462, 5229, 78.2882, -40.0658, -100, 1, 1, 4599.4337, 58095,
9463, 5230, 84.0895, -69.1133, -100, 2, 1, 5894.52229226, 57832,57802,
9464, 5231, 164.0502, -84.8977, -100, 2, 1, 5811.76357626, 58116,58213,
9465, 5232, 192.1895, 12.1748, -100, 3, 1, 9561.9946, 57833,57829,57877,
9522, 5233, 330.0, -30.0, 999, 0, 3, 0.0, NOT,OBSERVED
9523, 5234, 352.5, -55.0, 999, 0, 3, 0.0, NOT,OBSERVED
9524, 5235, 15.0, -60.0, 999, 0, 3, 0.0, NOT,OBSERVED
9525, 5236, 30.0, -50.0, 999, 0, 3, 0.0, NOT,OBSERVED
9526, 5237, 45.0, -30.0, 999, 0, 3, 0.0, NOT,OBSERVED
9527, 5238, 60.0, -30.0, 999, 0, 3, 0.0, NOT,OBSERVED
9528, 5239, 75.0, -30.0, 999, 0, 3, 0.0, NOT,OBSERVED
9633, 5238, 59.9378, -30.0904, -200, 2, 1, 2607.9037, 57945,57972,
9634, 5277, 82.4573, -45.0473, -100, 1, 1, 3435.84204798, 57580,
9635, 5277, 82.4573, -45.0473, -200, 0, 1, 0.0, NOT,OBSERVED
9636, 5278, 104.9766, -30.0242, -100, 0, 1, 0.0, NOT,OBSERVED
9637, 5279, 127.4461, -45.0165, -100, 2, 1, 4755.47632944, 58213,
9638, 5279, 127.4461, -45.0165, -100, 2, 1, 4755.47632944, 57580,
9639, 5280, 150.0347, -30.0259, -100, 1, 1, 1249.3202, 57830,
9640, 5281, 75.0688, 9.9685, -100, 0, 1, 0.0, NOT,OBSERVED
9641, 5282, 135.0929, -59.9748, -100, 3, 1, 3820.0198919, 58210,57580,58214,
9642, 5283, 210.0255, 0.0383, -100, 0, 1, 0.0, NOT,OBSERVED
9643, 5284, 164.9334, 0.0684, -100, 0, 1, 0.0, NOT,OBSERVED
9644, 5285, 82.5915, -60.0232, -100, 0, 1, 0.0, NOT,OBSERVED
9645, 5286, 105.2894, -79.9938, -100, 2, 1, 5078.39957306, 58152,57580,
9646, 5287, 127.0761, -84.94, -100, 2, 1, 2810.13803297, 58214,
9647, 5288, 156.5371, -89.0122, -100, 0, 1, 0.0, NOT,OBSERVED
