plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
7791, 5045, 357.9301, 62.0653, 320, 5, 3, 12283.7826, 57264,56995,57260,57267,57269,
7792, 5045, 357.9301, 62.0653, 420, 3, 3, 16661.1513, 57265,57292,57262,
7793, 5060, 30.1284, 61.7848, 100, 3, 3, 15306.4804, 56937,56934,56911,
7794, 5060, 30.1284, 61.7848, 200, 3, 3, 13326.3757, 56968,56938,56935,
7795, 5061, 45.1388, 58.7839, 100, 4, 3, 13725.8727, 56938,56935,56990,56911,
7796, 5061, 45.1388, 58.7839, 200, 3, 3, 13725.5929, 56936,56971,56942,
7797, 5062, 45.6293, 44.9206, 100, 2, 3, 12370.6815, 57002,56947,56997,
7798, 5063, 55.9041, 54.9672, 100, 3, 3, 12963.5565, 56944,56937,56993,
7799, 5063, 55.9041, 54.9672, 200, 2, 3, 11241.0946, 56945,57002,56997,
7800, 5064, 72.4084, 63.603, 100, 3, 3, 14894.6913, 56936,56972,56942,
7801, 5065, 72.6512, 44.4806, 100, 3, 3, 15853.3757, 56944,56947,56972,
7802, 5065, 72.6512, 44.4806, 200, 4, 3, 15678.1506, 56992,56946,56997,57645,
7803, 5066, 79.1438, 38.1321, 100, 2, 3, 11657.9157, 57000,56946,57003,
7804, 5066, 79.1438, 38.1321, 200, 3, 3, 14023.5715, 57002,57021,57029,
7805, 5067, 11.86667, 85.305, 100, 0, 1, 0.0, NOT,OBSERVED
7806, 5068, 222.5, -7.1, 111, 0, 6, 0.0, NOT,OBSERVED
7807, 5069, 217.25, 57.5166, 111, 6, 6, 22901.8826, 57824,57825,57794,57828,57800,57821,
7808, 3763, 324.49449707, 11.5765455462, 100, 0, 1, 0.0, NOT,OBSERVED
7809, 3766, 332.27449707, 12.6716143349, 100, 0, 1, 0.0, NOT,OBSERVED
7810, 3765, 329.90449707, 12.2524105348, 100, 0, 1, 0.0, NOT,OBSERVED
7811, 3689, 311.36307, 0.0, 100, 0, 1, 0.0, NOT,OBSERVED
7812, 3810, 262.504241943, 57.9645385742, 100, 0, 1, 0.0, NOT,OBSERVED
7813, 3809, 259.68536377, 56.7451400757, 100, 0, 1, 0.0, NOT,OBSERVED
7814, 2893, 258.413909912, 27.6659431458, 100, 0, 1, 0.0, NOT,OBSERVED
7815, 3760, 317.95449707, 10.1960287094, 100, 0, 1, 0.0, NOT,OBSERVED
7816, 3767, 333.830535889, 12.9411439896, 100, 0, 1, 0.0, NOT,OBSERVED
7817, 3770, 339.20449707, 13.6260786674, 100, 0, 1, 0.0, NOT,OBSERVED
7916, 5070, 272.6165, 6.3748, 110, 3, 3, 12090.9751, 57204,57173,57205,
7917, 5071, 358.6977, -19.6107, 100, 3, 3, 11334.0264, 57293,58037,
7918, 5072, 343.7614, 7.9514, 100, 4, 3, 13496.234, 58291,58085,58294,58295,
7919, 5073, 306.3151, 58.9476, 110, 4, 3, 12627.9111, 57265,57530,57321,57295,
7920, 5074, 335.6848, 66.7601, 110, 3, 3, 11850.9732, 57205,56942,56991,
7921, 5075, 6.43, 2.2244, 100, 4, 3, 16931.3269, 58064,58060,58084,58038,
7922, 5057, 62.8083, 67.9722, 200, 4, 3, 14176.4291, 57320,57323,57292,57279,
7923, 5062, 45.6293, 44.9206, 200, 4, 3, 11228.9681, 57264,57049,57269,57022,
7924, 5064, 72.4084, 63.603, 200, 6, 3, 11688.5873, 57280,57058,57320,57292,57295,57022,
7925, 5076, 19.8196, -13.6111, 100, 0, 3, 0.0, NOT,OBSERVED
7926, 5077, 26.0108, 0.0779, 100, 3, 3, 16478.8539, 58055,58029,58037,
