Fieldname|LocID|RA|Dec|Plate|A_ver|DrilledHA|HDB|NObs_Plan|NObs_Done|NObs_Ver_Plan|NObs_Ver_Done|Total_SN|Red_SN|Man|Priority|Priority|Time|Shared|Stars|At_APO|Reduction|Obs|HistoryReduction|History
56812
NGP|4127|192.85950|27.12833|4918|-1-00-00|0.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-37|38|0,0,0
VOD2|4125|185.49996|-0.24997|4919|-1-00-00|0.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
M3|4160|206.29667|27.62556|4920|-1-00-00|15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-32|44|0,0,0
M3|4160|206.29667|27.62556|4921|-2-00-00|15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-32|44|0,0,0
N5466|4161|211.58400|28.77850|4922|-1-00-00|15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-33|45|0,0,0
030+04|4244|277.96279|-0.77944|4923|-2-00-00|-37.5|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-107|-19|0,0,0
030+04|4244|277.96279|-0.77944|4924|-2-00-00|-52.5|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-64|-39|0,0,0
030+04|4244|277.96279|-0.77944|4925|-2-00-00|-63.8|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-74|-52|0,0,0
000+06|4335|260.72283|-25.69122|4927|-1-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-24|24|0,0,0
004+00|4104|268.71267|-25.50244|4928|-1-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-26|26|0,0,0
004+00|4104|268.71267|-25.50244|4929|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-26|26|0,0,0
006+00|4336|269.81662|-23.77233|4930|-1-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
006+00|4336|269.81662|-23.77233|4931|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
000+10|4337|257.11029|-23.40972|4932|-1-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-26|26|0,0,0
010+00|4338|271.94025|-20.29003|4933|-1-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
010+00|4338|271.94025|-20.29003|4934|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
VOD1|4124|176.50000|0.50003|4935|-1-00-00|30.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||9|47|0,0,0
N5634SGR2|4203|216.37500|-5.66064|4936|-1-00-00|0.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-26|26|0,0,0
030-08|4254|288.67726|-6.23116|4937|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-26|26|0,0,0
090+04|4246|313.37914|50.98403|4938|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-34|36|0,0,0
030-04|4247|285.09070|-4.42874|4939|-1-00-00|15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-11|38|0,0,0
090-04|4249|322.15842|45.50853|4940|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-37|38|0,0,0
M15|4230|322.33333|12.17278|4941|-1-00-00|0.0|1|0|21|3|3|116|116|1|100.0|65.0|0|0|0|1|55821,55869,55804|1,1,1,|-31|31|0,0,0
VOD2|4125|185.49996|-0.24997|4942|-1-00-00|15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-10|36|0,0,0
VOD3|4126|190.99996|-7.80000|4943|-1-00-00|15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-10|37|0,0,0
060-04|4248|299.71143|21.85098|4944|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-36|37|0,0,0
060+04|4245|292.12448|25.83681|4945|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-37|38|0,0,0
004+04|4348|264.86321|-23.09022|4946|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|25|0,0,0
004-04|4349|272.98483|-27.37192|4947|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-22|22|0,0,0
010+02|4343|270.08842|-19.30808|4948|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-22|22|0,0,0
010-02|4341|273.81550|-21.25225|4949|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-30|29|0,0,0
018+02|4344|274.11767|-12.31411|4950|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-27|26|0,0,0
018-02|4342|277.74867|-14.18764|4951|01-00-00|0.0|3|0|0|1|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-24|23|0,0,0
060+00|4241|295.97638|23.89038|5070|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-36|38|0,0,0
090+08|4252|308.21604|53.43421|5071|01-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-33|34|0,0,0
090+08|4252|308.21604|53.43421|5072|02-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-33|33|0,0,0
090+08|4252|308.21604|53.43421|5073|03-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-33|33|0,0,0
090+08|4252|308.21604|53.43421|5074|04-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-33|33|0,0,0
090-08|4102|325.90681|42.55145|5075|01-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-38|39|0,0,0
090-08|4102|325.90681|42.55145|5076|02-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-38|39|0,0,0
090-08|4102|325.90681|42.55145|5077|03-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-38|39|0,0,0
090-08|4102|325.90681|42.55145|5078|04-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-38|39|0,0,0
090+00|4242|318.00439|48.32964|5079|-1-00-00|15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-25|44|0,0,0
120+08|4120|4.05694|70.67105|5080|01-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-28|29|0,0,0
120+08|4120|4.05694|70.67105|5081|02-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-28|29|0,0,0
120+08|4120|4.05694|70.67105|5082|03-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-28|29|0,0,0
120+08|4120|4.05694|70.67105|5083|04-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-28|29|0,0,0
120+04|4119|5.44692|66.70281|5084|01-00-00|-15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-43|15|0,0,0
120+04|4119|5.44692|66.70281|5085|02-00-00|-15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-43|16|0,0,0
120+04|4119|5.44692|66.70281|5086|03-00-00|-15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-43|16|0,0,0
120+04|4119|5.44692|66.70281|5087|04-00-00|-15.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-43|16|0,0,0
120+00|4243|6.45085|62.72573|5088|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-27|28|0,0,0
M13|4105|250.51667|36.50722|5089|-1-00-00|-15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-45|36|0,0,0
M13|4105|250.51667|36.50722|5090|-2-00-00|-15.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-46|37|0,0,0
090-04|4249|322.15842|45.50853|5091|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-37|38|0,0,0
M2|4260|323.40067|-0.82025|5092|-1-00-00|0.0|1|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-24|24|0,0,0
M71|4261|298.36037|18.77269|5093|-1-00-00|0.0|2|0|0|3|0|0|0|1|100.0|0.0|0|0|0|0|NOT,OBSERVED||-34|34|0,0,0
N7789|4264|358.45567|56.48183|5094|-1-00-00|0.0|2|0|7|3|3|120|120|2|0.0|777.0|0|0|1|1|56651,56643,55874|1,1,1,|-32|31|0,0,0
N188|4217|11.83254|85.25100|5095|-1-00-00|0.0|1|0|13|3|4|116|116|3|0.0|23.0|0|0|0|1|55821,55840,55844,55824|1,1,1,1,|-21|21|0,0,0
